State/UT	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Andhra Pradesh	34	37	39	39	41	43	46	49	52	54	56	57	59	59	62	66	65
Arunachal Pradesh	36	30	30	24	24	23	25	27	31	31	31	27	25	21	23	7	16
Assam	44	47	49	54	55	55	58	61	64	66	67	68	66	67	70	74	75
Bihar	38	42	42	42	43	44	48	52	56	58	60	61	61	60	61	62	62
Chhattisgarh	39	41	43	46	47	48	51	54	57	59	61	63	60	70	73	77	79
Delhi	18	18	20	24	25	28	30	33	35	36	35	35	32	26	33	25	32
Goa	8	9	10	9	10	11	10	10	10	10	15	16	18	13	16	14	21
Gujarat	30	33	35	36	38	41	44	48	50	52	53	54	53	57	60	60	62
Haryana	33	36	36	41	42	44	48	51	54	55	57	60	61	59	62	66	67
Himachal Pradesh	25	28	32	35	36	38	40	45	44	47	50	49	51	42	61	43	51
Jammu & Kashmir	24	26	34	37	39	41	43	45	49	51	52	50	49	44	47	48	50
Jharkhand	29	32	34	37	38	37	42	44	46	48	49	50	49	51	58	62	70
Karnataka	24	28	29	31	32	35	38	41	45	47	48	50	49	52	55	58	57
Kerala	10	12	12	12	12	12	13	12	12	13	15	14	12	11	10	11	14
Madhya Pradesh	47	50	52	54	56	59	62	67	70	72	74	76	79	82	85	86	88
Maharashtra	19	21	22	24	25	25	28	31	33	34	35	36	36	42	45	45	48
Manipur	11	9	11	10	10	11	14	16	14	10						10	22
Meghalaya	39	42	46	47	49	52	55	59	58	52	53	49	43	56	66	51	66
Mizoram	27	32	32	35	35	34	37	36	37				27	16	6	18	18
Nagaland	12	12	14	18	18	21	23	26	26	19	20	18	17	NA	NA	NA	NA
Odisha	44	46	49	51	53	57	61	65	69	71	73	75	77	83	87	91	95
Punjab	21	23	24	26	28	30	34	38	41	43	44	44	45	49	51	52	52
Rajasthan	41	43	46	47	49	52	55	59	63	65	67	68	67	75	78	80	79
Sikkim	16	18	19	22	24	26	30	34	33	33	33	30	30	22	25	29	47
Tamil Nadu	17	19	20	21	21	22	24	28	31	35	37	37	41	43	44	49	51
Telangana	31	34															
Tripura	24	20	21	26	28	29	27	31	34	41	36	31	30	23	33	35	35
Uttar Pradesh	43	46	48	50	53	57	61	63	67	69	71	73	72	76	80	83	83
Uttarakhand	38	34	33	32	34	36	38	41	44	48	43	42	42	41	44	48	50
West Bengal	25	26	28	31	32	32	31	33	35	37	38	38	40	46	49	51	51
Andaman & Nicobar Islands	16	20	22	24	24	23	25	27	31	31	31	27	25	21	23	7	16
Chandigarh	14	21	23	21	20	20	22	25	28	35	23	19	22	12	22	16	27
D&N Haveli	17	21	26	31	33	35	38	37	34	29	24	43	34	49	51	61	57
Daman & Diu	19	18	18	20	22	22	23	24	31	28	37	28	30	36	30	43	54
Lakshadweep	19	20	20	24	24	24	25	25	31	38	25	22	39	21	15	38	22
Puducherry	10	11	14	17	17	19	22	22	25	16	28	28	26	27	25	22	20
India	34	37	39	40	42	44	47	50	53	55	57	58	58	60	63	66	68
